workclass,education,age,gender
 Private, Assoc-acdm,31, Male
 Private, Assoc-acdm,34, Female
 Federal-gov, Some-college,33, Female
 Private, Masters,32, Male
 Private, 11th,44, Male
 State-gov, Some-college,21, Male
 Local-gov, HS-grad,75, Female
 Federal-gov, Masters,55, Male
 Self-emp-not-inc, HS-grad,43, Female
 Private, HS-grad,31, Male
 Private, Some-college,41, Male
 Local-gov, Masters,26, Male
 Private, Assoc-voc,23, Female
 Federal-gov, HS-grad,42, Female
 Private, HS-grad,29, Female
 Private, HS-grad,21, Male
 Private, Bachelors,28, Male
 ?, HS-grad,64, Male
 Federal-gov, Some-college,35, Female
 Private, Bachelors,65, Male
 Private, Bachelors,34, Male
 Private, Bachelors,58, Male
 ?, Prof-school,63, Male
 Private, Bachelors,50, Male
 Private, HS-grad,59, Female
 Private, Bachelors,46, Male
 Private, Assoc-voc,30, Male
 Private, Bachelors,28, Male
 ?, 5th-6th,51, Male
 Private, Masters,47, Male
 Private, Bachelors,30, Male
 Private, HS-grad,34, Male
 State-gov, Some-college,51, Female
 Private, HS-grad,41, Male
 Private, Some-college,57, Male
 Self-emp-not-inc, Assoc-voc,28, Male
 Local-gov, HS-grad,62, Female
 State-gov, Some-college,22, Male
 Private, Bachelors,38, Male
 ?, 11th,34, Male
 Local-gov, HS-grad,45, Male
 Private, Assoc-acdm,37, Male
 Private, HS-grad,21, Male
 Private, HS-grad,49, Male
 Private, HS-grad,24, Male
 Private, Bachelors,47, Male
 Federal-gov, Some-college,20, Female
 Private, Prof-school,27, Female
 Private, HS-grad,40, Female
 ?, Some-college,19, Female
 Local-gov, Bachelors,31, Female
 Private, HS-grad,43, Male
 Private, Bachelors,48, Male
 Self-emp-not-inc, HS-grad,64, Male
 Private, HS-grad,39, Male
 Private, HS-grad,50, Male
 Private, Assoc-voc,52, Female
 Private, Masters,44, Female
 ?, HS-grad,50, Male
 Private, HS-grad,54, Male
 Self-emp-not-inc, 10th,17, Male
 Federal-gov, HS-grad,33, Male
 Private, 10th,28, Female
 Self-emp-not-inc, Bachelors,39, Male
 Private, Assoc-voc,33, Male
 Private, 7th-8th,59, Male
 Private, 1st-4th,74, Female
 Private, Some-college,54, Male
 Private, Assoc-acdm,31, Male
 Private, Some-college,31, Female
 Private, Some-college,20, Female
 Local-gov, Masters,54, Male
 Private, Assoc-voc,42, Male
 Self-emp-not-inc, Prof-school,57, Male
 Private, HS-grad,49, Female
 Private, Doctorate,40, Male
 ?, HS-grad,19, Male
 Private, HS-grad,38, Male
 Private, HS-grad,39, Male
 Private, Assoc-acdm,43, Male
 ?, Some-college,32, Male
 Private, Bachelors,57, Female
 Private, Prof-school,38, Male
 Private, Bachelors,25, Female
 Private, Bachelors,40, Female
 Private, Bachelors,34, Male
 Self-emp-not-inc, HS-grad,35, Male
 Private, Some-college,53, Female
 Private, Some-college,21, Male
 Private, Bachelors,43, Male
 Self-emp-not-inc, HS-grad,43, Male
 Private, Assoc-voc,22, Female
 Self-emp-not-inc, HS-grad,64, Male
 ?, 12th,19, Male
 Private, Masters,40, Female
 Private, HS-grad,34, Male
 Private, HS-grad,46, Female
 Private, HS-grad,35, Male
 Private, Some-college,32, Male
 Private, Some-college,26, Male
 Private, HS-grad,25, Male
 Private, Bachelors,55, Male
 Private, Some-college,22, Female
 State-gov, Some-college,29, Male
 Self-emp-not-inc, HS-grad,38, Male
 Private, Some-college,55, Female
 Private, HS-grad,26, Male
 Self-emp-inc, Bachelors,34, Male
 State-gov, HS-grad,25, Female
 Private, HS-grad,39, Female
 ?, 11th,18, Male
 State-gov, 9th,58, Male
 Local-gov, Assoc-voc,34, Female
 Self-emp-not-inc, Some-college,29, Male
 State-gov, Doctorate,49, Male
 Private, Bachelors,38, Female
 Private, Some-college,21, Male
 Private, Bachelors,28, Male
 Private, Some-college,42, Female
 Self-emp-not-inc, Assoc-acdm,29, Male
 Private, HS-grad,48, Female
 Private, Bachelors,40, Male
 Private, Some-college,36, Male
 Private, Bachelors,34, Male
 Self-emp-not-inc, 1st-4th,57, Male
 Private, 9th,24, Male
 Private, 9th,32, Female
 Self-emp-not-inc, HS-grad,18, Male
 Private, HS-grad,39, Male
 Private, 11th,39, Male
 Private, 11th,18, Female
 Private, Some-college,20, Male
 ?, 9th,27, Female
 Private, 10th,54, Male
 Self-emp-not-inc, HS-grad,40, Male
 Private, Some-college,27, Male
 Private, HS-grad,27, Female
 Federal-gov, Bachelors,43, Male
 Private, Bachelors,22, Female
 Private, 11th,17, Female
 Self-emp-inc, Assoc-acdm,37, Male
 Private, 10th,49, Male
 Private, Assoc-voc,33, Male
 State-gov, Some-college,21, Male
 Private, HS-grad,45, Male
 Private, HS-grad,33, Male
 Private, Bachelors,25, Male
 Private, HS-grad,71, Male
 Local-gov, Bachelors,23, Female
 Private, Prof-school,41, Male
 ?, 10th,21, Female
 Private, HS-grad,47, Female
 Private, Bachelors,30, Male
 Private, Some-college,40, Female
 Private, Some-college,44, Female
 Private, Masters,50, Male
 State-gov, HS-grad,31, Male
 Private, HS-grad,68, Male
 Private, 12th,45, Male
 Private, Bachelors,38, Male
 Self-emp-inc, 11th,78, Male
 Self-emp-inc, Assoc-voc,31, Male
 Private, HS-grad,39, Male
 Self-emp-not-inc, 7th-8th,36, Male
 Local-gov, Masters,46, Female
 Private, Some-college,30, Male
 Private, Some-college,34, Male
 Federal-gov, HS-grad,30, Male
 Private, Bachelors,47, Male
 Private, Some-college,40, Female
 ?, HS-grad,62, Male
 Self-emp-not-inc, HS-grad,44, Male
 Private, HS-grad,40, Female
 Private, Some-college,20, Male
 Private, Bachelors,45, Male
 Private, Bachelors,55, Male
 Private, HS-grad,51, Female
 Private, Some-college,38, Male
 Local-gov, Masters,49, Male
 State-gov, Bachelors,49, Male
 Local-gov, HS-grad,30, Female
 Private, Some-college,20, Male
 Private, 9th,34, Male
 Local-gov, HS-grad,42, Female
 Private, Masters,46, Male
 Private, Bachelors,43, Female
 Private, HS-grad,62, Female
 Private, Some-college,21, Female
 Local-gov, 1st-4th,58, Male
 Private, Bachelors,30, Female
 Private, HS-grad,37, Male
 State-gov, Bachelors,22, Female
 State-gov, 9th,64, Female
 Private, HS-grad,42, Male
 State-gov, HS-grad,43, Male
 Private, Some-college,34, Female
 Private, HS-grad,25, Female
 Private, Some-college,21, Male
 Federal-gov, HS-grad,45, Male
 Self-emp-not-inc, Assoc-acdm,55, Male
 Private, HS-grad,24, Male
 Self-emp-not-inc, Some-college,70, Male
 Local-gov, Bachelors,27, Male
 Private, Some-college,34, Male
 Private, Bachelors,57, Male
 Self-emp-not-inc, HS-grad,37, Male
 Private, 1st-4th,52, Male
 Private, HS-grad,32, Male
 Private, Assoc-voc,42, Male
 Private, Bachelors,24, Female
 Private, HS-grad,50, Male
 Private, Assoc-acdm,36, Male
 Private, HS-grad,42, Male
 Private, HS-grad,40, Female
 Federal-gov, Bachelors,39, Male
 Private, Bachelors,51, Male
 State-gov, Bachelors,38, Male
 Private, HS-grad,18, Male
 Self-emp-not-inc, 5th-6th,63, Female
 Private, Masters,50, Male
 Self-emp-not-inc, HS-grad,82, Male
 Private, HS-grad,33, Male
 Private, Some-college,37, Male
 Private, HS-grad,24, Male
 Private, Bachelors,31, Female
 Private, HS-grad,59, Female
 Private, 12th,18, Male
 Self-emp-not-inc, Some-college,47, Male
 Private, 11th,48, Male
 Private, Bachelors,27, Female
 Private, 11th,34, Male
 Private, Assoc-voc,50, Male
 Self-emp-not-inc, Some-college,57, Male
 Private, HS-grad,60, Male
 Private, HS-grad,39, Male
 ?, Some-college,56, Female
 Private, HS-grad,18, Female
 Private, Assoc-acdm,26, Female
 Private, Some-college,37, Female
 Private, HS-grad,20, Female
 Local-gov, Masters,29, Male
 Private, HS-grad,30, Male
 Private, Some-college,21, Male
 Local-gov, Some-college,24, Female
 Private, HS-grad,51, Male
 Private, HS-grad,31, Female
 Private, Bachelors,45, Male
 Local-gov, Some-college,36, Male
 Private, Bachelors,29, Female
 Private, HS-grad,20, Female
 Private, Some-college,46, Female
 Private, HS-grad,44, Male
 Private, HS-grad,39, Female
 Private, Bachelors,39, Male
 Private, HS-grad,45, Male
 Private, Some-college,28, Male
 Private, Some-college,44, Female
 Local-gov, HS-grad,48, Male
 Private, HS-grad,27, Female
 Self-emp-not-inc, HS-grad,34, Male
 Private, HS-grad,35, Male
 Federal-gov, HS-grad,28, Male
 Private, Prof-school,25, Female
 Private, Some-college,21, Female
 Private, 11th,18, Male
 Self-emp-not-inc, 7th-8th,63, Female
 Private, 11th,18, Female
 Private, HS-grad,32, Male
 ?, 11th,25, Female
 Private, 11th,19, Male
 Private, Some-college,23, Male
 Private, Masters,38, Male
 Private, Masters,36, Male
 Private, HS-grad,43, Female
 Private, Bachelors,45, Male
 Private, HS-grad,30, Male
 Private, HS-grad,46, Male
 Federal-gov, Some-college,24, Female
 Private, Some-college,42, Female
 Private, Some-college,23, Female
 Private, HS-grad,27, Male
 Private, Some-college,48, Male
 Self-emp-inc, HS-grad,31, Male
 Private, 1st-4th,31, Female
 Private, 12th,18, Female
 Private, HS-grad,36, Female
 Private, Bachelors,58, Male
 Self-emp-not-inc, HS-grad,51, Male
 Private, HS-grad,22, Female
 Private, 10th,72, Male
 Private, 10th,61, Male
 Private, Some-college,42, Male
 Federal-gov, HS-grad,37, Female
 Self-emp-inc, HS-grad,30, Male
 Private, Assoc-acdm,40, Female
 Private, HS-grad,20, Male
 Private, Bachelors,65, Male
 Private, Some-college,36, Female
 Private, HS-grad,37, Male
 Self-emp-not-inc, Some-college,33, Male
 Local-gov, HS-grad,64, Female
 Self-emp-not-inc, Bachelors,61, Male
 Private, Bachelors,38, Female
 Private, Bachelors,27, Male
 Private, Bachelors,24, Female
 Private, Bachelors,39, Male
 Private, Bachelors,44, Male
 Private, Some-college,47, Female
 ?, Prof-school,73, Male
 Private, Bachelors,66, Male
 Private, Some-college,53, Male
 State-gov, Bachelors,43, Male
 State-gov, Doctorate,57, Male
 Private, Assoc-acdm,44, Female
 Private, Bachelors,59, Male
 Self-emp-not-inc, HS-grad,52, Female
 Private, Some-college,46, Male
 Private, Some-college,20, Female
 Federal-gov, HS-grad,37, Male
 Self-emp-not-inc, Some-college,41, Male
 Federal-gov, HS-grad,39, Male
 Private, HS-grad,30, Male
 Private, Some-college,59, Male
 Private, Bachelors,22, Female
 Private, HS-grad,40, Female
 Self-emp-not-inc, Bachelors,39, Male
 Private, 10th,24, Female
 Private, HS-grad,63, Male
 Private, Assoc-acdm,51, Female
 Self-emp-inc, Bachelors,34, Male
 Private, Assoc-voc,38, Male
 Private, 11th,17, Female
 Private, Some-college,20, Female
 Self-emp-not-inc, HS-grad,42, Male
 Private, Bachelors,41, Female
 Local-gov, HS-grad,56, Male
 Private, 10th,17, Male
 Private, Bachelors,31, Female
 Private, Some-college,23, Female
 ?, Some-college,33, Male
 Local-gov, Bachelors,36, Male
 Private, 5th-6th,37, Male
 Private, HS-grad,52, Female
 Private, HS-grad,28, Male
 Private, HS-grad,59, Male
 Private, 10th,30, Male
 Private, Assoc-voc,32, Male
 Private, 7th-8th,30, Male
 Private, HS-grad,53, Male
 Self-emp-not-inc, 10th,54, Male
 Private, Bachelors,26, Male
 Private, Bachelors,34, Male
 Private, Assoc-voc,31, Female
 Private, HS-grad,34, Male
 Private, HS-grad,58, Male
 State-gov, HS-grad,30, Male
 Private, HS-grad,53, Male
 Private, Some-college,27, Female
 Private, 5th-6th,23, Male
 Private, Assoc-voc,24, Male
 Private, Bachelors,36, Male
 Federal-gov, HS-grad,33, Female
 State-gov, Some-college,22, Female
 Private, HS-grad,47, Male
 Private, Assoc-acdm,34, Male
 Federal-gov, Prof-school,44, Male
 Private, Assoc-voc,41, Female
 ?, HS-grad,45, Male
 Private, HS-grad,24, Male
 ?, Bachelors,65, Male
 Private, Bachelors,45, Female
 Private, Bachelors,23, Male
 Private, HS-grad,54, Male
 Private, 11th,40, Female
 Private, 5th-6th,45, Female
 Private, HS-grad,50, Male
 Private, Assoc-acdm,40, Male
 Private, Some-college,24, Male
 Private, HS-grad,42, Male
 Private, Some-college,50, Male
 Self-emp-not-inc, Some-college,58, Male
 Private, Some-college,47, Male
 Private, Doctorate,37, Male
 Self-emp-not-inc, HS-grad,37, Male
 Private, Assoc-acdm,22, Male
 Self-emp-not-inc, HS-grad,29, Male
 Private, Bachelors,45, Male
 Self-emp-not-inc, Some-college,49, Male
 Local-gov, Assoc-voc,44, Male
 Private, HS-grad,72, Female
 Self-emp-not-inc, HS-grad,63, Male
 Private, HS-grad,26, Male
 Self-emp-not-inc, Assoc-voc,58, Male
 Private, HS-grad,40, Male
 Private, Some-college,56, Male
 Self-emp-not-inc, Some-college,55, Male
 Private, Bachelors,28, Female
 Private, HS-grad,57, Female
 Private, Masters,37, Male
 Private, HS-grad,44, Female
 Private, HS-grad,31, Male
 Private, Some-college,42, Male
 Private, Some-college,18, Female
 Self-emp-not-inc, 10th,57, Male
 Local-gov, Some-college,53, Male
 Private, HS-grad,38, Male
 Private, HS-grad,33, Female
 Private, Masters,42, Female
 ?, HS-grad,70, Male
 Private, HS-grad,50, Male
 Private, HS-grad,50, Male
 Private, Assoc-acdm,28, Male
 Federal-gov, 11th,72, Female
 Private, HS-grad,33, Male
 Private, HS-grad,47, Male
 Private, Some-college,48, Male
 Self-emp-not-inc, Bachelors,64, Male
 Private, 11th,19, Female
 Private, Assoc-voc,48, Female
 Private, HS-grad,37, Male
 Private, HS-grad,55, Male
 Private, Masters,24, Female
 Federal-gov, HS-grad,42, Female
 Private, HS-grad,43, Female
 Private, Assoc-acdm,34, Female
 Self-emp-inc, Masters,55, Male
 Private, HS-grad,22, Male
 Private, Some-college,39, Female
 Self-emp-not-inc, Bachelors,50, Male
 Local-gov, Some-college,47, Male
 Private, Bachelors,25, Female
 Private, 11th,52, Female
 Private, HS-grad,30, Male
 Self-emp-not-inc, HS-grad,37, Male
 Self-emp-inc, HS-grad,73, Male
 Private, 7th-8th,50, Male
 Private, Some-college,34, Male
 Private, Assoc-acdm,24, Male
 Private, Some-college,66, Male
 Private, HS-grad,22, Male
 Local-gov, 10th,69, Male
 Private, HS-grad,23, Male
 Private, Bachelors,55, Female
 Private, Some-college,35, Female
 Private, Some-college,20, Female
 Self-emp-inc, Some-college,70, Male
 Private, Assoc-voc,54, Male
 Private, HS-grad,34, Male
 State-gov, Doctorate,38, Male
 Private, 7th-8th,33, Male
 Private, HS-grad,43, Female
 Self-emp-inc, Some-college,60, Male
 Self-emp-not-inc, Bachelors,81, Female
 Self-emp-not-inc, HS-grad,32, Male
 Private, HS-grad,34, Male
 Self-emp-not-inc, Masters,46, Male
 State-gov, Some-college,30, Male
 ?, HS-grad,23, Female
 Private, Some-college,29, Male
 Private, HS-grad,51, Male
 Private, 7th-8th,31, Male
 Federal-gov, HS-grad,36, Female
 Private, Some-college,23, Male
 Private, HS-grad,35, Male
 Local-gov, Masters,28, Female
 State-gov, Bachelors,33, Male
 Private, Some-college,40, Male
 Private, Some-college,27, Male
 Self-emp-inc, HS-grad,38, Male
 Private, Assoc-voc,47, Female
 Private, Some-college,25, Female
 Private, Bachelors,45, Male
 Private, Some-college,38, Female
 ?, Some-college,66, Male
 Local-gov, Some-college,65, Female
 Private, Assoc-voc,30, Male
 Private, 11th,54, Female
 Private, 12th,49, Female
 Self-emp-not-inc, Assoc-voc,41, Female
 Federal-gov, HS-grad,48, Male
 Private, 5th-6th,23, Female
 Private, HS-grad,77, Male
 Private, Some-college,19, Female
 Private, HS-grad,30, Female
 Self-emp-inc, Bachelors,41, Male
 Private, HS-grad,35, Male
 Private, Some-college,20, Female
 Self-emp-inc, Bachelors,66, Male
 Private, HS-grad,49, Female
 Private, Bachelors,52, Male
 Private, Masters,24, Female
 Private, HS-grad,50, Male
 Private, 11th,22, Male
 Private, Some-college,19, Male
 Private, 11th,39, Female
 Private, Bachelors,45, Male
 Local-gov, Bachelors,61, Male
 Private, Assoc-acdm,45, Male
 Local-gov, Bachelors,36, Male
 Private, Masters,40, Male
 Private, HS-grad,38, Male
 Local-gov, Some-college,52, Male
 Federal-gov, Assoc-voc,29, Male
 Private, HS-grad,33, Male
 Self-emp-not-inc, Some-college,40, Male
 Private, HS-grad,34, Male
 Local-gov, Bachelors,46, Male
 Private, Masters,44, Male
 Private, HS-grad,19, Female
 Private, HS-grad,44, Female
 Private, HS-grad,40, Male
 Private, Some-college,20, Female
 Private, Assoc-acdm,24, Male
 Private, HS-grad,76, Male
 Private, HS-grad,20, Male
 Private, Prof-school,33, Male
 Private, Some-college,31, Male
 Private, HS-grad,33, Female
 Private, HS-grad,19, Male
 Private, Bachelors,29, Male
 Private, HS-grad,30, Male
 Private, Masters,48, Male
 Private, Bachelors,42, Male
 Private, 11th,37, Male
 Self-emp-inc, HS-grad,54, Male
 Private, Assoc-acdm,42, Male
 Self-emp-not-inc, HS-grad,28, Female
 Local-gov, Some-college,42, Male
 State-gov, Masters,60, Female
 ?, HS-grad,76, Female
 Private, Assoc-voc,21, Female
 Private, Some-college,29, Male
 Private, Bachelors,43, Male
 Private, HS-grad,44, Male
 Private, Bachelors,45, Female
 Private, Some-college,38, Female
 Private, Some-college,28, Male
 Private, HS-grad,29, Female
 Private, Some-college,20, Male
 Self-emp-inc, Masters,49, Male
 Local-gov, Some-college,36, Male
 Self-emp-inc, Bachelors,40, Male
 Private, 12th,17, Female
 Private, HS-grad,45, Male
 Private, Some-college,42, Male
 Private, Bachelors,29, Female
 Self-emp-not-inc, Bachelors,57, Male
 Private, Bachelors,23, Male
 Private, Some-college,20, Female
 Private, HS-grad,23, Male
 Private, HS-grad,39, Male
 Private, Some-college,34, Male
 Self-emp-not-inc, Bachelors,43, Male
 State-gov, Some-college,25, Male
 Private, Some-college,40, Male
 Self-emp-not-inc, HS-grad,52, Male
 Private, HS-grad,48, Female
 Private, Assoc-voc,37, Female
 Private, HS-grad,36, Male
 Private, Assoc-voc,33, Male
 Local-gov, HS-grad,36, Female
 Private, Bachelors,24, Male
 Local-gov, HS-grad,42, Male
 Self-emp-inc, Assoc-acdm,35, Male
 Federal-gov, HS-grad,40, Female
 Self-emp-inc, Prof-school,50, Male
 Private, Masters,40, Male
 Private, HS-grad,22, Male
 Self-emp-inc, HS-grad,57, Male
 Local-gov, HS-grad,51, Male
 Federal-gov, HS-grad,61, Female
 Private, HS-grad,71, Female
 Private, HS-grad,47, Male
 Private, Bachelors,38, Female
 Private, Bachelors,25, Male
 Private, 11th,33, Male
 State-gov, 11th,40, Female
 ?, 11th,39, Female
 Private, HS-grad,29, Female
 Private, HS-grad,33, Male
 Private, Some-college,46, Female
 Private, HS-grad,24, Female
 Private, Masters,28, Male
 Private, HS-grad,20, Male
 Private, Some-college,34, Female
 State-gov, Bachelors,34, Male
 Private, Some-college,25, Female
 Private, Bachelors,36, Male
 Private, HS-grad,61, Male
 Private, Some-college,38, Female
 Private, HS-grad,57, Female
 ?, HS-grad,20, Female
 Private, HS-grad,56, Female
 Private, Bachelors,24, Female
 Private, Some-college,60, Female
 Private, Some-college,37, Male
 Private, Some-college,27, Male
 Private, Some-college,54, Male
 Private, HS-grad,40, Male
 Private, 12th,18, Male
 Federal-gov, HS-grad,51, Male
 Self-emp-not-inc, Some-college,40, Male
 Federal-gov, HS-grad,64, Male
 Private, HS-grad,24, Female
 Private, HS-grad,33, Female
 Private, HS-grad,31, Female
 Local-gov, HS-grad,26, Male
 Private, Bachelors,54, Female
 Private, 1st-4th,31, Male
 Private, 12th,39, Male
 Private, Some-college,22, Male
 Private, Some-college,31, Male
 Private, 5th-6th,68, Male
 Federal-gov, 10th,59, Female
 Self-emp-not-inc, HS-grad,35, Male
 Private, Bachelors,25, Male
 Private, HS-grad,23, Male
 Private, Some-college,35, Male
 State-gov, 10th,17, Male
 Private, Some-college,19, Male
 Private, Masters,53, Male
 Private, 5th-6th,59, Female
 Private, HS-grad,37, Female
 Self-emp-not-inc, HS-grad,74, Male
 Private, Some-college,28, Male
 Private, Bachelors,40, Male
 Private, Some-college,30, Male
 Private, Some-college,20, Male
 Private, Prof-school,80, Male
 Private, HS-grad,51, Male
 Private, 10th,17, Male
 Federal-gov, Bachelors,37, Male
 ?, HS-grad,19, Female
 Private, HS-grad,58, Male
 Private, Some-college,57, Male
 Private, Some-college,37, Male
 Federal-gov, Some-college,23, Male
 Private, Bachelors,36, Female
 Private, HS-grad,33, Male
 Private, Some-college,30, Female
 Private, HS-grad,30, Female
 Private, Prof-school,41, Male
 ?, Some-college,57, Male
 Private, HS-grad,23, Male
 Private, Prof-school,40, Female
 Private, HS-grad,53, Female
 State-gov, Some-college,31, Male
 ?, 5th-6th,41, Male
 Private, HS-grad,36, Male
 Private, 12th,30, Female
 Private, HS-grad,44, Male
 Private, HS-grad,36, Male
 Private, Assoc-acdm,42, Male
 Self-emp-not-inc, HS-grad,48, Male
 Private, Bachelors,22, Male
 Private, HS-grad,38, Male
 Private, HS-grad,31, Male
 Private, HS-grad,32, Male
 Private, HS-grad,35, Male
 Private, Some-college,21, Male
 Private, HS-grad,26, Male
 Local-gov, HS-grad,19, Female
 Private, HS-grad,43, Female
 Private, HS-grad,33, Male
 Private, Bachelors,30, Male
 Private, 10th,52, Male
 Local-gov, Bachelors,38, Male
 Private, Bachelors,28, Male
 Self-emp-not-inc, Assoc-acdm,57, Male
 Private, Bachelors,51, Male
 Private, 9th,50, Male
 Private, Bachelors,32, Male
 Private, Bachelors,32, Male
 Private, HS-grad,37, Male
 Self-emp-not-inc, HS-grad,69, Male
 ?, Some-college,33, Male
 Private, Some-college,37, Male
 Private, Some-college,36, Male
 Self-emp-not-inc, HS-grad,47, Male
 Private, 10th,63, Male
 Private, Some-college,21, Male
 Private, HS-grad,17, Male
 Private, HS-grad,56, Male
 Local-gov, Assoc-acdm,90, Male
 Private, Some-college,27, Female
 Private, HS-grad,38, Female
 Private, Assoc-acdm,33, Male
 Private, HS-grad,26, Female
 Private, Some-college,20, Female
 Private, 11th,42, Male
 Private, HS-grad,55, Female
 State-gov, Some-college,32, Female
 Private, Bachelors,66, Male
 Local-gov, Doctorate,66, Female
 Private, Some-college,49, Female
 Private, HS-grad,34, Male
 Private, Bachelors,38, Male
 Self-emp-inc, HS-grad,40, Male
 Federal-gov, Assoc-acdm,22, Male
 Self-emp-not-inc, HS-grad,46, Male
 Private, HS-grad,29, Male
 Private, 12th,19, Male
 ?, HS-grad,71, Female
 Local-gov, Bachelors,37, Female
 Local-gov, Masters,52, Male
 Private, Masters,27, Female
 Private, HS-grad,52, Female
 Private, HS-grad,31, Male
 Self-emp-inc, Some-college,37, Male
 Private, HS-grad,28, Male
 Private, 7th-8th,25, Male
 Private, Some-college,31, Male
 Private, HS-grad,29, Male
 Private, HS-grad,45, Female
 Private, 7th-8th,69, Male
 Private, 11th,50, Male
 State-gov, Doctorate,54, Male
 Private, 9th,17, Female
 Private, HS-grad,34, Male
 Self-emp-not-inc, HS-grad,32, Female
 Private, Some-college,23, Male
 Private, Bachelors,66, Male
 Private, HS-grad,61, Male
 Private, Some-college,55, Female
 Private, HS-grad,24, Male
 Private, HS-grad,30, Male
 Private, Assoc-voc,49, Male
 ?, Some-college,21, Female
 Self-emp-inc, HS-grad,56, Male
 Private, HS-grad,25, Male
 Private, Bachelors,49, Male
 Private, Bachelors,58, Male
 Federal-gov, Bachelors,40, Male
 Private, Masters,62, Female
 Private, Bachelors,54, Male
 Self-emp-not-inc, Assoc-voc,34, Female
 Private, 10th,18, Male
 ?, 11th,28, Female
 Private, HS-grad,32, Male
 Local-gov, Bachelors,22, Female
 State-gov, Bachelors,34, Male
 ?, Bachelors,53, Male
 Private, HS-grad,47, Male
 Private, Some-college,19, Female
 Self-emp-inc, Some-college,41, Male
 Private, Some-college,46, Female
 Self-emp-not-inc, 7th-8th,56, Male
 Private, HS-grad,42, Female
 Private, Bachelors,25, Female
 Private, HS-grad,42, Male
 Private, Bachelors,43, Female
 Private, 11th,17, Female
 Self-emp-not-inc, 7th-8th,57, Male
 Private, Masters,40, Male
 Local-gov, HS-grad,62, Female
 Private, Some-college,20, Male
 Private, Some-college,47, Male
 Private, Some-college,40, Male
 Private, HS-grad,44, Female
 Private, Bachelors,48, Male
 Self-emp-inc, Assoc-voc,39, Male
 Local-gov, Some-college,46, Male
 Self-emp-inc, Prof-school,72, Male
 Private, HS-grad,53, Male
 Federal-gov, Some-college,47, Male
 Self-emp-not-inc, HS-grad,40, Male
 Private, HS-grad,34, Male
 Private, HS-grad,41, Male
 Private, HS-grad,41, Male
 Private, Some-college,20, Male
 Self-emp-inc, 1st-4th,42, Male
 Local-gov, Bachelors,54, Male
 Self-emp-inc, Bachelors,39, Female
 Private, HS-grad,37, Male
 Private, Doctorate,59, Male
 Private, 5th-6th,69, Male
 Private, Bachelors,24, Female
 Private, Assoc-voc,36, Male
 ?, Some-college,21, Male
 ?, HS-grad,68, Male
 Private, Some-college,20, Male
 Self-emp-not-inc, Assoc-voc,26, Female
 Private, 12th,48, Female
 Self-emp-inc, Prof-school,39, Male
 Private, Assoc-acdm,21, Female
 Private, HS-grad,22, Female
 Private, Assoc-voc,34, Female
 Private, Some-college,33, Male
 Private, 9th,46, Male
 Private, 11th,47, Male
 Private, Bachelors,65, Male
 Private, HS-grad,23, Male
 Private, Some-college,28, Female
 Self-emp-not-inc, HS-grad,34, Male
 Private, Some-college,20, Male
 Private, 11th,28, Male
 Self-emp-inc, Bachelors,52, Male
 State-gov, Masters,40, Female
 Private, Bachelors,22, Female
 Self-emp-inc, HS-grad,29, Male
 Self-emp-not-inc, 7th-8th,31, Male
 Federal-gov, Masters,42, Male
 Private, HS-grad,38, Female
 Private, 11th,22, Male
 ?, Some-college,21, Male
 Private, 9th,43, Male
 Self-emp-inc, Bachelors,43, Male
 Private, Some-college,33, Male
 Self-emp-inc, 10th,17, Male
 Self-emp-not-inc, Prof-school,54, Male
 Private, HS-grad,45, Female
 Local-gov, 10th,55, Male
 Self-emp-not-inc, HS-grad,51, Male
 Federal-gov, 10th,65, Male
 Private, Bachelors,21, Female
 Private, HS-grad,40, Female
 Private, Some-college,58, Female
 Federal-gov, HS-grad,53, Female
 Private, Masters,39, Male
 Local-gov, HS-grad,56, Male
 Private, Some-college,37, Male
 Private, Bachelors,44, Male
 Private, 9th,49, Male
 Private, Some-college,36, Male
 Self-emp-inc, Bachelors,59, Male
 Private, HS-grad,33, Female
 Private, Prof-school,36, Male
 Private, Some-college,26, Female
 Private, 10th,22, Female
 Private, Masters,25, Male
 Private, Some-college,28, Female
 Private, Assoc-acdm,41, Female
 Private, Assoc-voc,45, Male
 Private, HS-grad,43, Male
 Private, 9th,30, Male
 Private, HS-grad,33, Male
 Private, Some-college,34, Male
 Private, Assoc-voc,21, Male
 Private, Bachelors,31, Male
 Private, 5th-6th,48, Male
 Private, Some-college,22, Female
 Private, Some-college,47, Female
 Private, Bachelors,27, Female
 Private, 11th,18, Male
 Private, Masters,43, Male
 Private, Some-college,36, Female
 Federal-gov, HS-grad,37, Male
 Private, Assoc-voc,24, Male
 Private, HS-grad,24, Male
 Private, Bachelors,38, Male
 Private, Bachelors,48, Male
 Private, 1st-4th,75, Female
 Self-emp-not-inc, Bachelors,43, Male
 Private, Bachelors,64, Female
 ?, Doctorate,67, Male
 Private, HS-grad,36, Female
 Private, Some-college,53, Male
 Private, Some-college,22, Male
 Self-emp-not-inc, HS-grad,73, Female
 Private, HS-grad,46, Female
 Private, HS-grad,45, Male
 Private, HS-grad,43, Male
 Private, HS-grad,20, Male
 Federal-gov, Some-college,43, Male
 Private, 12th,21, Male
 Private, HS-grad,40, Female
 Private, Bachelors,36, Male
 Self-emp-inc, Bachelors,64, Male
 ?, Some-college,19, Female
 Private, Some-college,46, Male
